	SM57_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
515.625000	-29.24	10.19	1.00
518.554688	-29.29	10.62	1.00
521.484375	-29.33	11.13	1.00
524.414063	-29.34	11.65	1.00
527.343750	-29.33	12.18	1.00
530.273438	-29.30	12.65	1.00
533.203125	-29.26	13.03	1.00
536.132813	-29.20	13.22	1.00
539.062500	-29.14	13.27	1.00
541.992188	-29.09	13.13	1.00
544.921875	-29.05	12.87	1.00
547.851563	-29.00	12.45	1.00
550.781250	-29.00	12.01	1.00
553.710938	-29.02	11.53	1.00
556.640625	-29.06	11.20	1.00
559.570313	-29.10	11.08	1.00
562.500000	-29.15	11.19	1.00
565.429688	-29.18	11.47	1.00
568.359375	-29.19	11.80	1.00
571.289063	-29.18	12.13	1.00
574.218750	-29.16	12.40	1.00
577.148438	-29.12	12.61	1.00
580.078125	-29.08	12.71	1.00
583.007813	-29.05	12.75	1.00
585.937500	-29.03	12.73	1.00
588.867188	-29.01	12.69	1.00
591.796875	-29.01	12.60	1.00
594.726563	-29.01	12.51	1.00
597.656250	-29.01	12.47	1.00
600.585938	-29.02	12.46	1.00
603.515625	-29.03	12.52	1.00
606.445313	-29.04	12.62	1.00
609.375000	-29.05	12.76	1.00
612.304688	-29.05	12.91	1.00
615.234375	-29.05	13.06	1.00
618.164063	-29.04	13.22	1.00
621.093750	-29.04	13.37	1.00
624.023438	-29.03	13.51	1.00
626.953125	-29.02	13.68	1.00
629.882813	-29.01	13.89	1.00
632.812500	-28.99	14.11	1.00
635.742188	-28.97	14.37	1.00
638.671875	-28.94	14.63	1.00
641.601563	-28.90	14.81	1.00
644.531250	-28.87	14.91	1.00
647.460938	-28.83	14.93	1.00
650.390625	-28.80	14.91	1.00
653.320313	-28.78	14.86	1.00
656.250000	-28.76	14.87	1.00
659.179688	-28.74	14.92	1.00
662.109375	-28.72	15.01	1.00
665.039063	-28.70	15.13	1.00
667.968750	-28.66	15.26	1.00
670.898438	-28.62	15.39	1.00
673.828125	-28.57	15.50	1.00
676.757813	-28.52	15.56	1.00
679.687500	-28.46	15.61	1.00
682.617188	-28.41	15.59	1.00
685.546875	-28.36	15.53	1.00
688.476563	-28.31	15.44	1.00
691.406250	-28.27	15.33	1.00
694.335938	-28.23	15.24	1.00
697.265625	-28.20	15.17	1.00
700.195313	-28.16	15.11	1.00
703.125000	-28.11	15.02	1.00
706.054688	-28.06	14.90	1.00
708.984375	-28.00	14.68	1.00
711.914063	-27.95	14.36	1.00
714.843750	-27.92	13.93	1.00
717.773438	-27.89	13.43	1.00
720.703125	-27.88	12.97	1.00
723.632813	-27.88	12.60	1.00
726.562500	-27.88	12.34	1.00
729.492188	-27.89	12.15	1.00
732.421875	-27.89	12.01	1.00
735.351563	-27.88	11.87	1.00
738.281250	-27.86	11.71	1.00
741.210938	-27.84	11.53	1.00
744.140625	-27.82	11.19	1.00
747.070313	-27.82	10.69	1.00
750.000000	-27.82	10.04	1.00
752.929688	-27.86	9.26	1.00
755.859375	-27.93	8.54	1.00
758.789063	-28.03	7.99	1.00
761.718750	-28.15	7.69	0.99
764.648438	-28.27	7.54	1.00
767.578125	-28.39	7.54	1.00
770.507813	-28.48	7.69	1.00
773.437500	-28.57	7.95	1.00
776.367188	-28.64	8.32	1.00
779.296875	-28.70	8.72	1.00
782.226563	-28.74	9.17	1.00
785.156250	-28.77	9.65	1.00
788.085938	-28.79	10.13	1.00
791.015625	-28.79	10.57	1.00
793.945313	-28.78	10.99	1.00
796.875000	-28.77	11.38	1.00
799.804688	-28.75	11.75	1.00
802.734375	-28.73	12.07	1.00
805.664063	-28.71	12.36	1.00
808.593750	-28.70	12.64	1.00
811.523438	-28.68	12.92	1.00
814.453125	-28.67	13.20	1.00
817.382813	-28.65	13.50	1.00
820.312500	-28.63	13.81	1.00
823.242188	-28.61	14.12	1.00
826.171875	-28.58	14.43	1.00
829.101563	-28.56	14.74	1.00
832.031250	-28.53	15.04	1.00
834.960938	-28.50	15.34	1.00
837.890625	-28.47	15.65	1.00
840.820313	-28.43	15.95	1.00
843.750000	-28.40	16.26	1.00
846.679688	-28.36	16.59	1.00
849.609375	-28.32	16.93	1.00
852.539063	-28.27	17.30	1.00
855.468750	-28.20	17.69	1.00
858.398438	-28.12	18.07	1.00
861.328125	-28.02	18.41	1.00
864.257813	-27.90	18.66	0.99
867.187500	-27.75	18.81	0.99
870.117188	-27.56	18.77	0.99
873.046875	-27.37	18.27	1.00
875.976563	-27.16	17.20	0.98
878.906250	-26.96	15.45	0.95
881.835938	-26.85	12.46	0.84
884.765625	-26.83	8.82	0.92
887.695313	-26.89	6.56	1.00
890.625000	-26.99	5.31	0.99
893.554688	-27.12	4.56	1.00
896.484375	-27.24	4.23	1.00
899.414063	-27.35	4.16	1.00
902.343750	-27.44	4.28	1.00
905.273438	-27.51	4.54	1.00
908.203125	-27.57	4.84	1.00
911.132813	-27.60	5.18	1.00
914.062500	-27.62	5.50	1.00
916.992188	-27.64	5.82	1.00
919.921875	-27.63	6.11	1.00
922.851563	-27.62	6.38	1.00
925.781250	-27.61	6.61	1.00
928.710938	-27.59	6.78	1.00
931.640625	-27.57	6.90	1.00
934.570313	-27.55	7.00	1.00
937.500000	-27.53	7.07	1.00
940.429688	-27.51	7.14	1.00
943.359375	-27.49	7.20	1.00
946.289063	-27.47	7.24	1.00
949.218750	-27.44	7.25	1.00
952.148438	-27.42	7.20	1.00
955.078125	-27.40	7.12	1.00
958.007813	-27.38	7.00	1.00
