	SM57_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
5463.867188	-20.87	-36.83	1.00
5466.796875	-20.86	-36.89	1.00
5469.726563	-20.85	-36.95	1.00
5472.656250	-20.84	-37.01	1.00
5475.585938	-20.83	-37.07	1.00
5478.515625	-20.82	-37.13	1.00
5481.445313	-20.81	-37.19	1.00
5484.375000	-20.80	-37.26	1.00
5487.304688	-20.78	-37.32	1.00
5490.234375	-20.77	-37.39	1.00
5493.164063	-20.76	-37.46	1.00
5496.093750	-20.75	-37.53	1.00
5499.023438	-20.73	-37.60	1.00
5501.953125	-20.72	-37.67	1.00
5504.882813	-20.71	-37.74	1.00
5507.812500	-20.69	-37.81	1.00
5510.742188	-20.68	-37.89	1.00
5513.671875	-20.66	-37.96	1.00
5516.601563	-20.65	-38.04	1.00
5519.531250	-20.64	-38.11	1.00
5522.460938	-20.62	-38.19	1.00
5525.390625	-20.61	-38.27	1.00
5528.320313	-20.59	-38.35	1.00
5531.250000	-20.58	-38.43	1.00
5534.179688	-20.56	-38.52	1.00
5537.109375	-20.54	-38.61	1.00
5540.039063	-20.53	-38.71	1.00
5542.968750	-20.51	-38.80	1.00
5545.898438	-20.50	-38.91	1.00
5548.828125	-20.48	-39.01	1.00
5551.757813	-20.47	-39.12	1.00
5554.687500	-20.45	-39.22	1.00
5557.617188	-20.44	-39.33	1.00
5560.546875	-20.42	-39.44	1.00
5563.476563	-20.41	-39.55	1.00
5566.406250	-20.39	-39.66	1.00
5569.335938	-20.38	-39.76	1.00
5572.265625	-20.37	-39.87	1.00
5575.195313	-20.35	-39.98	1.00
5578.125000	-20.34	-40.08	1.00
5581.054688	-20.33	-40.19	1.00
5583.984375	-20.31	-40.30	1.00
5586.914063	-20.30	-40.41	1.00
5589.843750	-20.28	-40.52	1.00
5592.773438	-20.27	-40.63	1.00
5595.703125	-20.26	-40.74	1.00
5598.632813	-20.24	-40.85	1.00
5601.562500	-20.23	-40.96	1.00
5604.492188	-20.21	-41.08	1.00
5607.421875	-20.20	-41.19	1.00
5610.351563	-20.19	-41.31	1.00
5613.281250	-20.18	-41.42	1.00
5616.210938	-20.16	-41.53	1.00
5619.140625	-20.15	-41.64	1.00
5622.070313	-20.14	-41.76	1.00
5625.000000	-20.13	-41.87	1.00
5627.929688	-20.11	-41.98	1.00
5630.859375	-20.10	-42.09	1.00
5633.789063	-20.09	-42.21	1.00
5636.718750	-20.08	-42.32	1.00
5639.648438	-20.06	-42.43	1.00
5642.578125	-20.05	-42.55	1.00
5645.507813	-20.04	-42.66	1.00
5648.437500	-20.02	-42.78	1.00
5651.367188	-20.01	-42.90	1.00
5654.296875	-20.00	-43.02	1.00
5657.226563	-19.99	-43.13	1.00
5660.156250	-19.97	-43.25	1.00
5663.085938	-19.96	-43.37	1.00
5666.015625	-19.95	-43.48	1.00
5668.945313	-19.94	-43.60	1.00
5671.875000	-19.92	-43.71	1.00
5674.804688	-19.91	-43.83	1.00
5677.734375	-19.90	-43.95	1.00
5680.664063	-19.88	-44.07	1.00
5683.593750	-19.87	-44.19	1.00
5686.523438	-19.86	-44.31	1.00
5689.453125	-19.84	-44.44	1.00
5692.382813	-19.83	-44.57	1.00
5695.312500	-19.81	-44.70	1.00
5698.242188	-19.80	-44.83	1.00
5701.171875	-19.79	-44.97	1.00
5704.101563	-19.77	-45.11	1.00
5707.031250	-19.76	-45.25	1.00
5709.960938	-19.75	-45.39	1.00
5712.890625	-19.74	-45.54	1.00
5715.820313	-19.73	-45.68	1.00
5718.750000	-19.71	-45.83	1.00
5721.679688	-19.70	-45.97	1.00
5724.609375	-19.69	-46.10	1.00
5727.539063	-19.68	-46.24	1.00
5730.468750	-19.67	-46.38	1.00
5733.398438	-19.66	-46.51	1.00
5736.328125	-19.65	-46.65	1.00
5739.257813	-19.64	-46.78	1.00
5742.187500	-19.63	-46.91	1.00
5745.117188	-19.62	-47.05	1.00
5748.046875	-19.61	-47.18	1.00
5750.976563	-19.60	-47.31	1.00
5753.906250	-19.59	-47.45	1.00
5756.835938	-19.58	-47.58	1.00
5759.765625	-19.58	-47.71	1.00
5762.695313	-19.57	-47.85	1.00
5765.625000	-19.56	-47.99	1.00
5768.554688	-19.55	-48.12	1.00
5771.484375	-19.54	-48.26	1.00
5774.414063	-19.53	-48.40	1.00
5777.343750	-19.52	-48.53	1.00
5780.273438	-19.51	-48.66	1.00
5783.203125	-19.50	-48.80	1.00
5786.132813	-19.49	-48.93	1.00
5789.062500	-19.49	-49.06	1.00
5791.992188	-19.48	-49.19	1.00
5794.921875	-19.47	-49.32	1.00
5797.851563	-19.46	-49.45	1.00
5800.781250	-19.45	-49.58	1.00
5803.710938	-19.44	-49.71	1.00
5806.640625	-19.43	-49.84	1.00
5809.570313	-19.42	-49.97	1.00
5812.500000	-19.41	-50.10	1.00
5815.429688	-19.41	-50.23	1.00
5818.359375	-19.40	-50.36	1.00
5821.289063	-19.39	-50.49	1.00
5824.218750	-19.38	-50.62	1.00
5827.148438	-19.37	-50.75	1.00
5830.078125	-19.36	-50.89	1.00
5833.007813	-19.34	-51.02	1.00
5835.937500	-19.33	-51.16	1.00
5838.867188	-19.32	-51.30	1.00
5841.796875	-19.31	-51.45	1.00
5844.726563	-19.30	-51.59	1.00
5847.656250	-19.29	-51.74	1.00
5850.585938	-19.28	-51.89	1.00
5853.515625	-19.27	-52.04	1.00
5856.445313	-19.26	-52.20	1.00
5859.375000	-19.25	-52.36	1.00
5862.304688	-19.24	-52.52	0.99
5865.234375	-19.23	-52.69	1.00
5868.164063	-19.22	-52.86	1.00
5871.093750	-19.21	-53.04	1.00
5874.023438	-19.20	-53.22	1.00
5876.953125	-19.19	-53.40	1.00
5879.882813	-19.18	-53.59	1.00
5882.812500	-19.18	-53.78	1.00
5885.742188	-19.17	-53.97	1.00
5888.671875	-19.16	-54.17	1.00
5891.601563	-19.16	-54.36	0.99
5894.531250	-19.15	-54.56	1.00
5897.460938	-19.15	-54.75	1.00
5900.390625	-19.15	-54.95	1.00
5903.320313	-19.14	-55.14	1.00
5906.250000	-19.14	-55.33	1.00
5909.179688	-19.14	-55.53	1.00
5912.109375	-19.14	-55.72	1.00
5915.039063	-19.14	-55.91	1.00
5917.968750	-19.14	-56.10	1.00
5920.898438	-19.14	-56.29	1.00
5923.828125	-19.14	-56.48	1.00
5926.757813	-19.15	-56.67	1.00
5929.687500	-19.15	-56.85	1.00
5932.617188	-19.15	-57.02	1.00
5935.546875	-19.16	-57.19	1.00
5938.476563	-19.16	-57.36	1.00
5941.406250	-19.17	-57.52	1.00
5944.335938	-19.17	-57.67	1.00
5947.265625	-19.18	-57.82	1.00
5950.195313	-19.18	-57.97	1.00
5953.125000	-19.19	-58.11	1.00
5956.054688	-19.19	-58.25	1.00
5958.984375	-19.19	-58.38	1.00
5961.914063	-19.20	-58.51	1.00
5964.843750	-19.20	-58.64	1.00
5967.773438	-19.20	-58.77	1.00
5970.703125	-19.21	-58.90	1.00
5973.632813	-19.21	-59.03	1.00
5976.562500	-19.21	-59.16	1.00
5979.492188	-19.21	-59.29	1.00
5982.421875	-19.21	-59.42	1.00
5985.351563	-19.22	-59.56	1.00
5988.281250	-19.22	-59.69	1.00
5991.210938	-19.22	-59.82	1.00
5994.140625	-19.22	-59.96	1.00
5997.070313	-19.22	-60.10	1.00
6000.000000	-19.23	-60.23	1.00
6002.929688	-19.23	-60.37	1.00
6005.859375	-19.23	-60.50	1.00
6008.789063	-19.23	-60.63	1.00
6011.718750	-19.24	-60.77	1.00
6014.648438	-19.24	-60.90	1.00
6017.578125	-19.24	-61.03	1.00
6020.507813	-19.24	-61.16	1.00
6023.437500	-19.25	-61.29	1.00
6026.367188	-19.25	-61.42	1.00
6029.296875	-19.25	-61.56	1.00
6032.226563	-19.25	-61.69	1.00
6035.156250	-19.26	-61.82	1.00
6038.085938	-19.26	-61.95	1.00
6041.015625	-19.26	-62.09	1.00
6043.945313	-19.26	-62.22	1.00
6046.875000	-19.27	-62.36	1.00
6049.804688	-19.27	-62.50	1.00
6052.734375	-19.27	-62.64	1.00
6055.664063	-19.28	-62.77	1.00
6058.593750	-19.28	-62.91	1.00
6061.523438	-19.29	-63.04	1.00
6064.453125	-19.29	-63.18	1.00
6067.382813	-19.30	-63.31	1.00
6070.312500	-19.30	-63.44	1.00
6073.242188	-19.31	-63.56	1.00
6076.171875	-19.31	-63.69	1.00
6079.101563	-19.32	-63.81	1.00
6082.031250	-19.32	-63.92	1.00
6084.960938	-19.33	-64.04	1.00
6087.890625	-19.33	-64.15	1.00
6090.820313	-19.34	-64.27	1.00
6093.750000	-19.34	-64.38	1.00
6096.679688	-19.35	-64.49	1.00
6099.609375	-19.35	-64.60	1.00
6102.539063	-19.36	-64.71	1.00
6105.468750	-19.36	-64.82	1.00
6108.398438	-19.36	-64.94	1.00
6111.328125	-19.37	-65.05	1.00
6114.257813	-19.37	-65.16	1.00
6117.187500	-19.38	-65.27	1.00
6120.117188	-19.38	-65.38	1.00
6123.046875	-19.38	-65.50	1.00
6125.976563	-19.39	-65.61	1.00
6128.906250	-19.39	-65.72	1.00
6131.835938	-19.40	-65.83	1.00
6134.765625	-19.40	-65.94	1.00
6137.695313	-19.41	-66.04	1.00
6140.625000	-19.41	-66.15	1.00
6143.554688	-19.42	-66.25	1.00
6146.484375	-19.42	-66.35	1.00
6149.414063	-19.43	-66.45	1.00
6152.343750	-19.43	-66.54	1.00
6155.273438	-19.44	-66.64	1.00
6158.203125	-19.44	-66.73	1.00
6161.132813	-19.45	-66.83	1.00
6164.062500	-19.45	-66.92	1.00
6166.992188	-19.46	-67.01	1.00
6169.921875	-19.46	-67.10	1.00
6172.851563	-19.46	-67.19	1.00
6175.781250	-19.47	-67.28	1.00
6178.710938	-19.47	-67.37	1.00
6181.640625	-19.47	-67.46	1.00
6184.570313	-19.48	-67.54	1.00
6187.500000	-19.48	-67.63	1.00
6190.429688	-19.48	-67.72	1.00
6193.359375	-19.48	-67.80	1.00
6196.289063	-19.49	-67.89	1.00
6199.218750	-19.49	-67.98	1.00
6202.148438	-19.49	-68.06	1.00
6205.078125	-19.49	-68.15	1.00
6208.007813	-19.49	-68.24	1.00
6210.937500	-19.49	-68.32	1.00
6213.867188	-19.49	-68.41	1.00
6216.796875	-19.49	-68.50	1.00
6219.726563	-19.50	-68.58	1.00
6222.656250	-19.50	-68.67	1.00
6225.585938	-19.50	-68.75	1.00
6228.515625	-19.50	-68.84	1.00
6231.445313	-19.50	-68.92	1.00
6234.375000	-19.50	-69.00	1.00
6237.304688	-19.49	-69.09	1.00
6240.234375	-19.49	-69.18	1.00
6243.164063	-19.49	-69.26	1.00
6246.093750	-19.49	-69.35	1.00
6249.023438	-19.49	-69.44	1.00
6251.953125	-19.49	-69.53	1.00
6254.882813	-19.48	-69.63	1.00
6257.812500	-19.48	-69.72	1.00
6260.742188	-19.48	-69.82	1.00
6263.671875	-19.48	-69.91	1.00
6266.601563	-19.48	-70.01	1.00
6269.531250	-19.47	-70.11	1.00
6272.460938	-19.47	-70.21	1.00
6275.390625	-19.47	-70.31	1.00
6278.320313	-19.47	-70.41	1.00
6281.250000	-19.46	-70.51	1.00
6284.179688	-19.46	-70.62	1.00
6287.109375	-19.46	-70.72	1.00
6290.039063	-19.46	-70.83	1.00
6292.968750	-19.45	-70.93	1.00
6295.898438	-19.45	-71.04	1.00
6298.828125	-19.45	-71.15	1.00
6301.757813	-19.45	-71.26	1.00
6304.687500	-19.44	-71.37	1.00
6307.617188	-19.44	-71.48	1.00
6310.546875	-19.44	-71.59	1.00
6313.476563	-19.43	-71.71	1.00
6316.406250	-19.43	-71.83	1.00
6319.335938	-19.42	-71.96	1.00
6322.265625	-19.42	-72.09	1.00
6325.195313	-19.42	-72.22	1.00
6328.125000	-19.42	-72.36	1.00
6331.054688	-19.41	-72.50	1.00
6333.984375	-19.41	-72.65	1.00
6336.914063	-19.41	-72.81	1.00
6339.843750	-19.41	-72.96	1.00
6342.773438	-19.41	-73.12	1.00
6345.703125	-19.41	-73.27	1.00
6348.632813	-19.42	-73.42	1.00
6351.562500	-19.42	-73.57	1.00
6354.492188	-19.42	-73.72	1.00
6357.421875	-19.43	-73.86	1.00
6360.351563	-19.43	-74.00	1.00
6363.281250	-19.43	-74.14	1.00
6366.210938	-19.44	-74.28	1.00
6369.140625	-19.44	-74.41	1.00
6372.070313	-19.45	-74.54	1.00
6375.000000	-19.45	-74.67	1.00
6377.929688	-19.46	-74.80	1.00
6380.859375	-19.46	-74.93	1.00
6383.789063	-19.46	-75.06	1.00
6386.718750	-19.47	-75.19	1.00
6389.648438	-19.47	-75.31	1.00
6392.578125	-19.48	-75.44	1.00
6395.507813	-19.48	-75.56	1.00
6398.437500	-19.49	-75.69	1.00
6401.367188	-19.49	-75.81	1.00
6404.296875	-19.50	-75.93	1.00
6407.226563	-19.50	-76.06	1.00
6410.156250	-19.50	-76.18	1.00
6413.085938	-19.51	-76.30	1.00
6416.015625	-19.51	-76.42	1.00
6418.945313	-19.52	-76.54	1.00
6421.875000	-19.52	-76.66	1.00
6424.804688	-19.53	-76.78	1.00
6427.734375	-19.53	-76.90	1.00
6430.664063	-19.54	-77.03	1.00
6433.593750	-19.54	-77.15	1.00
6436.523438	-19.55	-77.27	1.00
6439.453125	-19.55	-77.39	1.00
6442.382813	-19.56	-77.52	1.00
6445.312500	-19.56	-77.65	1.00
6448.242188	-19.57	-77.78	1.00
6451.171875	-19.58	-77.91	1.00
6454.101563	-19.58	-78.05	1.00
6457.031250	-19.59	-78.18	1.00
6459.960938	-19.60	-78.31	1.00
6462.890625	-19.60	-78.44	1.00
6465.820313	-19.61	-78.57	1.00
6468.750000	-19.62	-78.70	1.00
6471.679688	-19.63	-78.82	1.00
6474.609375	-19.64	-78.94	1.00
6477.539063	-19.65	-79.05	1.00
6480.468750	-19.66	-79.17	1.00
6483.398438	-19.67	-79.28	1.00
6486.328125	-19.68	-79.38	1.00
6489.257813	-19.69	-79.49	1.00
6492.187500	-19.70	-79.59	1.00
6495.117188	-19.71	-79.69	1.00
6498.046875	-19.72	-79.79	1.00
6500.976563	-19.73	-79.89	1.00
6503.906250	-19.74	-79.98	1.00
6506.835938	-19.75	-80.07	1.00
6509.765625	-19.76	-80.16	1.00
6512.695313	-19.77	-80.25	1.00
6515.625000	-19.78	-80.33	1.00
6518.554688	-19.79	-80.42	1.00
6521.484375	-19.80	-80.50	1.00
6524.414063	-19.81	-80.58	1.00
6527.343750	-19.82	-80.66	1.00
6530.273438	-19.83	-80.73	1.00
6533.203125	-19.83	-80.81	1.00
6536.132813	-19.84	-80.88	1.00
6539.062500	-19.85	-80.96	1.00
6541.992188	-19.85	-81.03	1.00
6544.921875	-19.86	-81.11	1.00
6547.851563	-19.86	-81.18	1.00
6550.781250	-19.87	-81.26	1.00
6553.710938	-19.87	-81.33	1.00
6556.640625	-19.88	-81.41	1.00
6559.570313	-19.88	-81.49	1.00
6562.500000	-19.89	-81.57	1.00
6565.429688	-19.89	-81.65	1.00
6568.359375	-19.89	-81.73	1.00
6571.289063	-19.90	-81.82	1.00
6574.218750	-19.90	-81.91	1.00
6577.148438	-19.90	-82.00	1.00
6580.078125	-19.91	-82.09	1.00
6583.007813	-19.91	-82.18	1.00
6585.937500	-19.91	-82.27	1.00
6588.867188	-19.92	-82.37	1.00
6591.796875	-19.92	-82.47	1.00
6594.726563	-19.93	-82.57	1.00
6597.656250	-19.93	-82.67	1.00
6600.585938	-19.93	-82.77	1.00
6603.515625	-19.94	-82.87	1.00
6606.445313	-19.94	-82.98	1.00
6609.375000	-19.95	-83.08	1.00
6612.304688	-19.95	-83.18	1.00
6615.234375	-19.96	-83.28	1.00
6618.164063	-19.97	-83.38	1.00
6621.093750	-19.97	-83.48	1.00
6624.023438	-19.98	-83.58	1.00
6626.953125	-19.99	-83.68	1.00
6629.882813	-19.99	-83.78	1.00
6632.812500	-20.00	-83.87	1.00
6635.742188	-20.01	-83.97	1.00
6638.671875	-20.01	-84.06	1.00
6641.601563	-20.02	-84.16	1.00
6644.531250	-20.03	-84.25	1.00
6647.460938	-20.03	-84.34	1.00
6650.390625	-20.04	-84.43	1.00
6653.320313	-20.04	-84.52	1.00
6656.250000	-20.05	-84.61	1.00
6659.179688	-20.06	-84.70	1.00
6662.109375	-20.06	-84.79	1.00
6665.039063	-20.07	-84.88	1.00
6667.968750	-20.08	-84.97	1.00
6670.898438	-20.08	-85.06	1.00
6673.828125	-20.09	-85.15	1.00
6676.757813	-20.09	-85.24	1.00
6679.687500	-20.10	-85.33	1.00
6682.617188	-20.11	-85.43	1.00
6685.546875	-20.11	-85.52	1.00
6688.476563	-20.12	-85.61	1.00
6691.406250	-20.13	-85.71	1.00
6694.335938	-20.14	-85.80	1.00
6697.265625	-20.14	-85.89	1.00
6700.195313	-20.15	-85.98	1.00
6703.125000	-20.16	-86.07	1.00
6706.054688	-20.17	-86.16	1.00
6708.984375	-20.18	-86.25	1.00
6711.914063	-20.19	-86.33	1.00
6714.843750	-20.19	-86.41	1.00
6717.773438	-20.20	-86.49	1.00
6720.703125	-20.21	-86.57	1.00
6723.632813	-20.22	-86.65	1.00
6726.562500	-20.23	-86.72	1.00
6729.492188	-20.24	-86.80	1.00
6732.421875	-20.24	-86.87	1.00
6735.351563	-20.25	-86.94	1.00
6738.281250	-20.26	-87.01	1.00
6741.210938	-20.27	-87.08	1.00
6744.140625	-20.27	-87.15	1.00
6747.070313	-20.28	-87.22	1.00
6750.000000	-20.29	-87.29	1.00
6752.929688	-20.29	-87.36	1.00
6755.859375	-20.30	-87.43	1.00
6758.789063	-20.31	-87.50	1.00
6761.718750	-20.31	-87.56	1.00
6764.648438	-20.32	-87.63	1.00
6767.578125	-20.33	-87.70	1.00
6770.507813	-20.33	-87.76	1.00
6773.437500	-20.34	-87.83	1.00
6776.367188	-20.35	-87.89	1.00
6779.296875	-20.35	-87.95	1.00
6782.226563	-20.36	-88.02	1.00
6785.156250	-20.36	-88.08	1.00
6788.085938	-20.37	-88.14	1.00
6791.015625	-20.37	-88.20	1.00
6793.945313	-20.38	-88.27	1.00
6796.875000	-20.38	-88.33	1.00
6799.804688	-20.38	-88.40	1.00
6802.734375	-20.39	-88.46	1.00
6805.664063	-20.39	-88.53	1.00
6808.593750	-20.39	-88.60	1.00
6811.523438	-20.40	-88.68	1.00
6814.453125	-20.40	-88.75	1.00
6817.382813	-20.40	-88.83	1.00
6820.312500	-20.41	-88.90	1.00
6823.242188	-20.41	-88.98	1.00
6826.171875	-20.41	-89.06	1.00
6829.101563	-20.42	-89.15	1.00
6832.031250	-20.42	-89.23	1.00
6834.960938	-20.43	-89.31	1.00
6837.890625	-20.43	-89.39	1.00
6840.820313	-20.44	-89.47	1.00
6843.750000	-20.44	-89.55	1.00
6846.679688	-20.44	-89.63	1.00
6849.609375	-20.45	-89.72	1.00
6852.539063	-20.46	-89.80	1.00
6855.468750	-20.46	-89.88	1.00
6858.398438	-20.47	-89.96	1.00
6861.328125	-20.47	-90.04	1.00
6864.257813	-20.48	-90.12	1.00
6867.187500	-20.48	-90.20	1.00
6870.117188	-20.49	-90.28	1.00
6873.046875	-20.49	-90.36	1.00
6875.976563	-20.50	-90.44	1.00
6878.906250	-20.51	-90.51	1.00
6881.835938	-20.51	-90.59	1.00
6884.765625	-20.52	-90.67	1.00
6887.695313	-20.52	-90.74	1.00
6890.625000	-20.53	-90.81	1.00
6893.554688	-20.54	-90.88	1.00
6896.484375	-20.54	-90.95	1.00
6899.414063	-20.55	-91.02	1.00
6902.343750	-20.56	-91.09	1.00
6905.273438	-20.56	-91.15	1.00
6908.203125	-20.57	-91.22	1.00
6911.132813	-20.57	-91.28	1.00
6914.062500	-20.58	-91.34	1.00
6916.992188	-20.58	-91.40	1.00
6919.921875	-20.59	-91.46	1.00
6922.851563	-20.59	-91.53	1.00
6925.781250	-20.60	-91.59	1.00
6928.710938	-20.60	-91.65	1.00
6931.640625	-20.60	-91.72	1.00
6934.570313	-20.61	-91.78	1.00
6937.500000	-20.61	-91.85	1.00
6940.429688	-20.62	-91.91	1.00
6943.359375	-20.62	-91.98	1.00
6946.289063	-20.62	-92.05	1.00
6949.218750	-20.63	-92.12	1.00
6952.148438	-20.63	-92.20	1.00
6955.078125	-20.63	-92.27	1.00
6958.007813	-20.64	-92.34	1.00
6960.937500	-20.64	-92.41	1.00
6963.867188	-20.64	-92.48	1.00
6966.796875	-20.65	-92.55	1.00
6969.726563	-20.65	-92.62	1.00
6972.656250	-20.65	-92.69	1.00
6975.585938	-20.66	-92.76	1.00
6978.515625	-20.66	-92.83	1.00
6981.445313	-20.67	-92.90	1.00
6984.375000	-20.67	-92.97	1.00
6987.304688	-20.67	-93.05	1.00
6990.234375	-20.67	-93.12	1.00
6993.164063	-20.68	-93.19	1.00
6996.093750	-20.68	-93.27	1.00
6999.023438	-20.68	-93.34	1.00
7001.953125	-20.68	-93.42	1.00
7004.882813	-20.69	-93.51	1.00
7007.812500	-20.69	-93.59	1.00
7010.742188	-20.69	-93.68	1.00
7013.671875	-20.70	-93.77	1.00
7016.601563	-20.70	-93.86	1.00
7019.531250	-20.70	-93.95	1.00
7022.460938	-20.71	-94.04	1.00
7025.390625	-20.71	-94.13	1.00
7028.320313	-20.72	-94.22	1.00
7031.250000	-20.72	-94.32	1.00
7034.179688	-20.73	-94.41	1.00
7037.109375	-20.73	-94.50	1.00
7040.039063	-20.74	-94.58	1.00
7042.968750	-20.74	-94.67	1.00
7045.898438	-20.75	-94.76	1.00
7048.828125	-20.75	-94.85	1.00
7051.757813	-20.76	-94.94	1.00
7054.687500	-20.77	-95.03	1.00
7057.617188	-20.77	-95.11	1.00
7060.546875	-20.78	-95.20	1.00
7063.476563	-20.78	-95.29	1.00
7066.406250	-20.79	-95.37	1.00
7069.335938	-20.80	-95.46	1.00
7072.265625	-20.80	-95.55	1.00
7075.195313	-20.81	-95.64	1.00
7078.125000	-20.82	-95.72	1.00
7081.054688	-20.82	-95.81	1.00
7083.984375	-20.83	-95.90	1.00
7086.914063	-20.84	-95.99	1.00
7089.843750	-20.85	-96.08	1.00
7092.773438	-20.85	-96.17	1.00
7095.703125	-20.86	-96.26	1.00
7098.632813	-20.87	-96.35	1.00
7101.562500	-20.88	-96.43	1.00
7104.492188	-20.89	-96.52	1.00
7107.421875	-20.90	-96.60	1.00
7110.351563	-20.91	-96.68	1.00
7113.281250	-20.92	-96.76	1.00
7116.210938	-20.93	-96.83	1.00
7119.140625	-20.94	-96.91	1.00
7122.070313	-20.95	-96.98	1.00
7125.000000	-20.96	-97.04	1.00
7127.929688	-20.97	-97.11	1.00
7130.859375	-20.98	-97.17	1.00
7133.789063	-20.99	-97.23	1.00
7136.718750	-21.00	-97.29	1.00
7139.648438	-21.01	-97.34	1.00
7142.578125	-21.02	-97.40	1.00
7145.507813	-21.03	-97.46	1.00
7148.437500	-21.04	-97.51	1.00
7151.367188	-21.05	-97.56	1.00
7154.296875	-21.06	-97.62	1.00
7157.226563	-21.06	-97.67	1.00
7160.156250	-21.07	-97.72	1.00
7163.085938	-21.08	-97.77	1.00
7166.015625	-21.09	-97.82	1.00
7168.945313	-21.10	-97.87	1.00
7171.875000	-21.11	-97.93	1.00
7174.804688	-21.12	-97.98	1.00
7177.734375	-21.12	-98.03	1.00
7180.664063	-21.13	-98.08	1.00
7183.593750	-21.14	-98.12	1.00
7186.523438	-21.15	-98.17	1.00
7189.453125	-21.16	-98.22	1.00
7192.382813	-21.17	-98.26	1.00
7195.312500	-21.18	-98.30	1.00
7198.242188	-21.18	-98.34	1.00
7201.171875	-21.19	-98.38	1.00
7204.101563	-21.20	-98.41	1.00
7207.031250	-21.21	-98.45	1.00
7209.960938	-21.22	-98.48	1.00
7212.890625	-21.23	-98.51	1.00
7215.820313	-21.23	-98.54	1.00
7218.750000	-21.24	-98.56	1.00
7221.679688	-21.25	-98.59	1.00
7224.609375	-21.25	-98.61	1.00
7227.539063	-21.26	-98.64	1.00
7230.468750	-21.27	-98.66	1.00
7233.398438	-21.27	-98.69	1.00
7236.328125	-21.28	-98.71	1.00
7239.257813	-21.28	-98.74	1.00
7242.187500	-21.28	-98.77	1.00
7245.117188	-21.29	-98.80	1.00
7248.046875	-21.29	-98.83	1.00
7250.976563	-21.29	-98.86	1.00
7253.906250	-21.30	-98.89	1.00
7256.835938	-21.30	-98.92	1.00
7259.765625	-21.30	-98.95	1.00
7262.695313	-21.31	-98.99	1.00
7265.625000	-21.31	-99.02	1.00
7268.554688	-21.31	-99.06	1.00
7271.484375	-21.31	-99.09	1.00
7274.414063	-21.32	-99.12	1.00
7277.343750	-21.32	-99.16	1.00
7280.273438	-21.32	-99.19	1.00
7283.203125	-21.32	-99.23	1.00
7286.132813	-21.33	-99.27	1.00
7289.062500	-21.33	-99.31	1.00
7291.992188	-21.33	-99.34	1.00
7294.921875	-21.33	-99.38	1.00
7297.851563	-21.33	-99.42	1.00
7300.781250	-21.33	-99.46	1.00
7303.710938	-21.34	-99.50	1.00
7306.640625	-21.34	-99.55	1.00
7309.570313	-21.34	-99.59	1.00
7312.500000	-21.34	-99.63	1.00
7315.429688	-21.34	-99.68	1.00
7318.359375	-21.34	-99.72	1.00
7321.289063	-21.34	-99.77	1.00
7324.218750	-21.34	-99.82	1.00
7327.148438	-21.35	-99.87	1.00
7330.078125	-21.35	-99.92	1.00
7333.007813	-21.35	-99.97	1.00
7335.937500	-21.35	-100.02	1.00
7338.867188	-21.35	-100.08	1.00
7341.796875	-21.35	-100.14	1.00
7344.726563	-21.35	-100.19	1.00
7347.656250	-21.35	-100.25	1.00
7350.585938	-21.35	-100.31	1.00
7353.515625	-21.35	-100.38	1.00
7356.445313	-21.36	-100.44	1.00
7359.375000	-21.36	-100.50	1.00
7362.304688	-21.36	-100.57	1.00
7365.234375	-21.36	-100.63	1.00
7368.164063	-21.36	-100.70	1.00
7371.093750	-21.37	-100.76	1.00
7374.023438	-21.37	-100.83	1.00
7376.953125	-21.37	-100.90	1.00
7379.882813	-21.37	-100.97	1.00
7382.812500	-21.38	-101.03	1.00
7385.742188	-21.38	-101.10	1.00
7388.671875	-21.38	-101.16	1.00
7391.601563	-21.39	-101.23	1.00
7394.531250	-21.39	-101.29	1.00
7397.460938	-21.40	-101.35	1.00
7400.390625	-21.40	-101.41	1.00
7403.320313	-21.40	-101.47	1.00
7406.250000	-21.41	-101.53	1.00
7409.179688	-21.41	-101.59	1.00
7412.109375	-21.41	-101.65	1.00
7415.039063	-21.42	-101.70	1.00
7417.968750	-21.42	-101.76	1.00
7420.898438	-21.42	-101.81	1.00
7423.828125	-21.43	-101.87	1.00
7426.757813	-21.43	-101.92	1.00
7429.687500	-21.43	-101.98	1.00
7432.617188	-21.44	-102.03	1.00
7435.546875	-21.44	-102.09	1.00
7438.476563	-21.44	-102.15	1.00
7441.406250	-21.44	-102.20	1.00
7444.335938	-21.45	-102.26	1.00
7447.265625	-21.45	-102.32	1.00
7450.195313	-21.45	-102.39	1.00
7453.125000	-21.45	-102.45	1.00
7456.054688	-21.45	-102.51	1.00
7458.984375	-21.46	-102.58	1.00
7461.914063	-21.46	-102.65	1.00
7464.843750	-21.46	-102.72	1.00
7467.773438	-21.46	-102.80	1.00
7470.703125	-21.47	-102.87	1.00
7473.632813	-21.47	-102.95	1.00
7476.562500	-21.47	-103.02	1.00
7479.492188	-21.48	-103.10	1.00
7482.421875	-21.48	-103.17	1.00
7485.351563	-21.49	-103.25	1.00
7488.281250	-21.49	-103.32	1.00
7491.210938	-21.50	-103.39	1.00
7494.140625	-21.51	-103.46	1.00
7497.070313	-21.51	-103.53	1.00
7500.000000	-21.52	-103.59	1.00
7502.929688	-21.53	-103.66	1.00
