	ECM8000_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
6632.812500	-2.90	-20.31	1.00
6635.742188	-2.90	-20.34	1.00
6638.671875	-2.90	-20.37	1.00
6641.601563	-2.89	-20.40	1.00
6644.531250	-2.89	-20.44	1.00
6647.460938	-2.88	-20.47	1.00
6650.390625	-2.88	-20.50	1.00
6653.320313	-2.87	-20.54	1.00
6656.250000	-2.87	-20.57	1.00
6659.179688	-2.86	-20.61	1.00
6662.109375	-2.86	-20.65	1.00
6665.039063	-2.86	-20.68	1.00
6667.968750	-2.85	-20.72	1.00
6670.898438	-2.85	-20.75	1.00
6673.828125	-2.84	-20.79	1.00
6676.757813	-2.84	-20.83	1.00
6679.687500	-2.84	-20.86	1.00
6682.617188	-2.83	-20.91	1.00
6685.546875	-2.83	-20.95	1.00
6688.476563	-2.83	-20.99	1.00
6691.406250	-2.82	-21.03	1.00
6694.335938	-2.82	-21.07	1.00
6697.265625	-2.82	-21.12	1.00
6700.195313	-2.81	-21.16	1.00
6703.125000	-2.81	-21.20	1.00
6706.054688	-2.81	-21.24	1.00
6708.984375	-2.81	-21.28	1.00
6711.914063	-2.81	-21.31	1.00
6714.843750	-2.81	-21.35	1.00
6717.773438	-2.80	-21.38	1.00
6720.703125	-2.80	-21.41	1.00
6723.632813	-2.80	-21.44	1.00
6726.562500	-2.80	-21.47	1.00
6729.492188	-2.80	-21.50	1.00
6732.421875	-2.80	-21.52	1.00
6735.351563	-2.79	-21.54	1.00
6738.281250	-2.79	-21.56	1.00
6741.210938	-2.79	-21.58	1.00
6744.140625	-2.79	-21.60	1.00
6747.070313	-2.78	-21.62	1.00
6750.000000	-2.78	-21.64	1.00
6752.929688	-2.78	-21.66	1.00
6755.859375	-2.77	-21.67	1.00
6758.789063	-2.77	-21.69	1.00
6761.718750	-2.76	-21.71	1.00
6764.648438	-2.76	-21.73	1.00
6767.578125	-2.75	-21.75	1.00
6770.507813	-2.75	-21.77	1.00
6773.437500	-2.74	-21.79	1.00
6776.367188	-2.74	-21.82	1.00
6779.296875	-2.73	-21.84	1.00
6782.226563	-2.73	-21.87	1.00
6785.156250	-2.72	-21.90	1.00
6788.085938	-2.71	-21.94	1.00
6791.015625	-2.71	-21.97	1.00
6793.945313	-2.70	-22.01	1.00
6796.875000	-2.69	-22.05	1.00
6799.804688	-2.69	-22.09	1.00
6802.734375	-2.68	-22.14	1.00
6805.664063	-2.68	-22.18	1.00
6808.593750	-2.67	-22.23	1.00
6811.523438	-2.67	-22.27	1.00
6814.453125	-2.66	-22.31	1.00
6817.382813	-2.66	-22.36	1.00
6820.312500	-2.65	-22.40	1.00
6823.242188	-2.65	-22.44	1.00
6826.171875	-2.64	-22.49	1.00
6829.101563	-2.64	-22.53	1.00
6832.031250	-2.64	-22.57	1.00
6834.960938	-2.63	-22.61	1.00
6837.890625	-2.63	-22.66	1.00
6840.820313	-2.62	-22.70	1.00
6843.750000	-2.62	-22.74	1.00
6846.679688	-2.61	-22.79	1.00
6849.609375	-2.61	-22.83	1.00
6852.539063	-2.60	-22.88	1.00
6855.468750	-2.60	-22.92	1.00
6858.398438	-2.59	-22.97	1.00
6861.328125	-2.59	-23.02	1.00
6864.257813	-2.58	-23.07	1.00
6867.187500	-2.58	-23.12	1.00
6870.117188	-2.57	-23.17	1.00
6873.046875	-2.57	-23.23	1.00
6875.976563	-2.57	-23.28	1.00
6878.906250	-2.56	-23.33	1.00
6881.835938	-2.56	-23.38	1.00
6884.765625	-2.56	-23.43	1.00
6887.695313	-2.55	-23.49	1.00
6890.625000	-2.55	-23.54	1.00
6893.554688	-2.54	-23.59	1.00
6896.484375	-2.54	-23.64	1.00
6899.414063	-2.54	-23.69	1.00
6902.343750	-2.53	-23.74	1.00
6905.273438	-2.53	-23.79	1.00
6908.203125	-2.52	-23.85	1.00
6911.132813	-2.52	-23.90	1.00
6914.062500	-2.51	-23.95	1.00
6916.992188	-2.51	-24.00	1.00
6919.921875	-2.51	-24.06	1.00
6922.851563	-2.50	-24.11	1.00
6925.781250	-2.50	-24.17	1.00
6928.710938	-2.49	-24.23	1.00
6931.640625	-2.49	-24.28	1.00
6934.570313	-2.48	-24.34	1.00
6937.500000	-2.48	-24.40	1.00
6940.429688	-2.47	-24.47	1.00
6943.359375	-2.47	-24.53	1.00
6946.289063	-2.46	-24.60	1.00
6949.218750	-2.46	-24.67	1.00
6952.148438	-2.46	-24.74	1.00
6955.078125	-2.45	-24.81	1.00
6958.007813	-2.45	-24.88	1.00
6960.937500	-2.45	-24.96	1.00
6963.867188	-2.44	-25.03	1.00
6966.796875	-2.44	-25.11	1.00
6969.726563	-2.44	-25.19	1.00
6972.656250	-2.44	-25.27	1.00
6975.585938	-2.44	-25.34	1.00
6978.515625	-2.43	-25.42	1.00
6981.445313	-2.43	-25.50	1.00
6984.375000	-2.43	-25.58	1.00
6987.304688	-2.43	-25.65	1.00
6990.234375	-2.43	-25.73	1.00
6993.164063	-2.43	-25.80	1.00
6996.093750	-2.43	-25.87	1.00
6999.023438	-2.43	-25.94	1.00
7001.953125	-2.44	-26.01	1.00
7004.882813	-2.44	-26.08	1.00
7007.812500	-2.44	-26.15	1.00
7010.742188	-2.44	-26.22	1.00
7013.671875	-2.44	-26.29	1.00
7016.601563	-2.44	-26.35	1.00
7019.531250	-2.44	-26.42	1.00
7022.460938	-2.44	-26.48	1.00
7025.390625	-2.44	-26.55	1.00
7028.320313	-2.45	-26.61	1.00
7031.250000	-2.45	-26.67	1.00
7034.179688	-2.45	-26.74	1.00
7037.109375	-2.45	-26.80	1.00
7040.039063	-2.45	-26.86	1.00
7042.968750	-2.45	-26.93	1.00
7045.898438	-2.45	-26.99	1.00
7048.828125	-2.46	-27.05	1.00
7051.757813	-2.46	-27.11	1.00
7054.687500	-2.46	-27.18	1.00
7057.617188	-2.46	-27.24	1.00
7060.546875	-2.46	-27.31	1.00
7063.476563	-2.46	-27.37	1.00
7066.406250	-2.46	-27.44	1.00
7069.335938	-2.47	-27.51	1.00
7072.265625	-2.47	-27.58	1.00
7075.195313	-2.47	-27.65	1.00
7078.125000	-2.47	-27.72	1.00
7081.054688	-2.48	-27.79	1.00
7083.984375	-2.48	-27.87	1.00
7086.914063	-2.48	-27.94	1.00
7089.843750	-2.48	-28.02	1.00
7092.773438	-2.49	-28.10	1.00
7095.703125	-2.49	-28.17	1.00
7098.632813	-2.50	-28.24	1.00
7101.562500	-2.50	-28.32	1.00
7104.492188	-2.51	-28.39	1.00
7107.421875	-2.52	-28.45	1.00
7110.351563	-2.52	-28.52	1.00
7113.281250	-2.53	-28.57	1.00
7116.210938	-2.54	-28.63	1.00
7119.140625	-2.55	-28.68	1.00
7122.070313	-2.55	-28.73	1.00
7125.000000	-2.56	-28.78	1.00
7127.929688	-2.57	-28.82	1.00
7130.859375	-2.57	-28.87	1.00
7133.789063	-2.58	-28.91	1.00
7136.718750	-2.59	-28.95	1.00
7139.648438	-2.59	-28.98	1.00
7142.578125	-2.60	-29.02	1.00
7145.507813	-2.60	-29.06	1.00
7148.437500	-2.61	-29.09	1.00
7151.367188	-2.62	-29.13	1.00
7154.296875	-2.62	-29.17	1.00
7157.226563	-2.63	-29.21	1.00
7160.156250	-2.63	-29.25	1.00
7163.085938	-2.64	-29.29	1.00
7166.015625	-2.64	-29.33	1.00
7168.945313	-2.65	-29.38	1.00
7171.875000	-2.65	-29.42	1.00
7174.804688	-2.66	-29.47	1.00
7177.734375	-2.66	-29.51	1.00
7180.664063	-2.67	-29.56	1.00
7183.593750	-2.68	-29.60	1.00
7186.523438	-2.68	-29.64	1.00
7189.453125	-2.69	-29.68	1.00
7192.382813	-2.70	-29.72	1.00
7195.312500	-2.70	-29.75	1.00
7198.242188	-2.71	-29.78	1.00
7201.171875	-2.72	-29.81	1.00
7204.101563	-2.73	-29.84	1.00
7207.031250	-2.73	-29.87	1.00
7209.960938	-2.74	-29.90	1.00
7212.890625	-2.75	-29.92	1.00
7215.820313	-2.75	-29.95	1.00
7218.750000	-2.76	-29.97	1.00
7221.679688	-2.77	-30.00	1.00
7224.609375	-2.77	-30.02	1.00
7227.539063	-2.78	-30.05	1.00
7230.468750	-2.79	-30.07	1.00
7233.398438	-2.79	-30.09	1.00
7236.328125	-2.80	-30.11	1.00
7239.257813	-2.81	-30.13	1.00
7242.187500	-2.82	-30.15	1.00
7245.117188	-2.82	-30.17	1.00
7248.046875	-2.83	-30.18	1.00
7250.976563	-2.84	-30.20	1.00
7253.906250	-2.84	-30.21	1.00
7256.835938	-2.85	-30.22	1.00
7259.765625	-2.86	-30.23	1.00
7262.695313	-2.86	-30.24	1.00
7265.625000	-2.87	-30.25	1.00
7268.554688	-2.88	-30.26	1.00
7271.484375	-2.88	-30.26	1.00
7274.414063	-2.89	-30.27	1.00
7277.343750	-2.89	-30.28	1.00
7280.273438	-2.90	-30.29	1.00
7283.203125	-2.90	-30.30	1.00
7286.132813	-2.91	-30.31	1.00
7289.062500	-2.91	-30.33	1.00
7291.992188	-2.92	-30.34	1.00
7294.921875	-2.92	-30.36	1.00
7297.851563	-2.93	-30.37	1.00
7300.781250	-2.93	-30.39	1.00
7303.710938	-2.94	-30.41	1.00
7306.640625	-2.94	-30.43	1.00
7309.570313	-2.95	-30.44	1.00
7312.500000	-2.96	-30.46	1.00
7315.429688	-2.96	-30.48	1.00
7318.359375	-2.97	-30.50	1.00
7321.289063	-2.98	-30.51	1.00
7324.218750	-2.98	-30.52	1.00
7327.148438	-2.99	-30.53	1.00
7330.078125	-3.00	-30.53	1.00
7333.007813	-3.01	-30.53	1.00
7335.937500	-3.01	-30.53	1.00
7338.867188	-3.02	-30.53	1.00
7341.796875	-3.03	-30.53	1.00
7344.726563	-3.03	-30.53	1.00
7347.656250	-3.04	-30.52	1.00
7350.585938	-3.05	-30.52	1.00
7353.515625	-3.05	-30.51	1.00
7356.445313	-3.06	-30.50	1.00
7359.375000	-3.06	-30.49	1.00
7362.304688	-3.07	-30.48	1.00
7365.234375	-3.07	-30.47	1.00
7368.164063	-3.08	-30.46	1.00
7371.093750	-3.09	-30.45	1.00
7374.023438	-3.09	-30.44	1.00
7376.953125	-3.10	-30.43	1.00
7379.882813	-3.10	-30.42	1.00
7382.812500	-3.11	-30.40	1.00
7385.742188	-3.11	-30.39	1.00
7388.671875	-3.12	-30.38	1.00
7391.601563	-3.12	-30.36	1.00
7394.531250	-3.13	-30.35	1.00
7397.460938	-3.13	-30.33	1.00
7400.390625	-3.14	-30.31	1.00
7403.320313	-3.14	-30.29	1.00
7406.250000	-3.15	-30.26	1.00
7409.179688	-3.15	-30.24	1.00
7412.109375	-3.15	-30.21	1.00
7415.039063	-3.16	-30.19	1.00
7417.968750	-3.16	-30.16	1.00
7420.898438	-3.16	-30.13	1.00
7423.828125	-3.17	-30.11	1.00
7426.757813	-3.17	-30.08	1.00
7429.687500	-3.17	-30.05	1.00
7432.617188	-3.17	-30.03	1.00
7435.546875	-3.17	-30.00	1.00
7438.476563	-3.17	-29.97	1.00
7441.406250	-3.17	-29.95	1.00
7444.335938	-3.18	-29.92	1.00
7447.265625	-3.18	-29.89	1.00
7450.195313	-3.18	-29.87	1.00
7453.125000	-3.18	-29.84	1.00
7456.054688	-3.18	-29.82	1.00
7458.984375	-3.18	-29.79	1.00
7461.914063	-3.18	-29.77	1.00
7464.843750	-3.17	-29.75	1.00
7467.773438	-3.17	-29.73	1.00
7470.703125	-3.17	-29.71	1.00
7473.632813	-3.17	-29.68	1.00
7476.562500	-3.17	-29.67	1.00
7479.492188	-3.17	-29.65	1.00
7482.421875	-3.17	-29.63	1.00
7485.351563	-3.17	-29.62	1.00
7488.281250	-3.16	-29.60	1.00
7491.210938	-3.16	-29.59	1.00
7494.140625	-3.16	-29.58	1.00
7497.070313	-3.16	-29.56	1.00
7500.000000	-3.16	-29.55	1.00
7502.929688	-3.16	-29.54	1.00
7505.859375	-3.15	-29.53	1.00
7508.789063	-3.15	-29.52	1.00
7511.718750	-3.15	-29.51	1.00
7514.648438	-3.15	-29.50	1.00
7517.578125	-3.15	-29.49	1.00
7520.507813	-3.15	-29.48	1.00
7523.437500	-3.14	-29.47	1.00
7526.367188	-3.14	-29.46	1.00
7529.296875	-3.14	-29.45	1.00
7532.226563	-3.14	-29.44	1.00
7535.156250	-3.14	-29.44	1.00
7538.085938	-3.14	-29.43	1.00
7541.015625	-3.13	-29.42	1.00
7543.945313	-3.13	-29.41	1.00
7546.875000	-3.13	-29.40	1.00
7549.804688	-3.13	-29.40	1.00
7552.734375	-3.13	-29.39	1.00
7555.664063	-3.12	-29.38	0.99
7558.593750	-3.12	-29.38	1.00
7561.523438	-3.12	-29.38	1.00
7564.453125	-3.12	-29.37	1.00
7567.382813	-3.11	-29.37	1.00
7570.312500	-3.11	-29.36	1.00
7573.242188	-3.11	-29.36	1.00
7576.171875	-3.11	-29.35	1.00
7579.101563	-3.11	-29.35	1.00
7582.031250	-3.10	-29.35	1.00
7584.960938	-3.10	-29.34	1.00
7587.890625	-3.10	-29.33	1.00
7590.820313	-3.10	-29.33	1.00
7593.750000	-3.10	-29.32	1.00
7596.679688	-3.10	-29.31	1.00
7599.609375	-3.10	-29.30	1.00
7602.539063	-3.10	-29.29	1.00
7605.468750	-3.09	-29.28	1.00
7608.398438	-3.09	-29.27	1.00
7611.328125	-3.09	-29.26	1.00
7614.257813	-3.09	-29.25	1.00
7617.187500	-3.09	-29.23	1.00
7620.117188	-3.09	-29.22	1.00
7623.046875	-3.09	-29.20	1.00
7625.976563	-3.08	-29.19	1.00
7628.906250	-3.08	-29.17	1.00
7631.835938	-3.08	-29.16	1.00
7634.765625	-3.08	-29.14	1.00
7637.695313	-3.07	-29.13	1.00
7640.625000	-3.07	-29.11	1.00
7643.554688	-3.07	-29.10	1.00
7646.484375	-3.07	-29.08	1.00
7649.414063	-3.06	-29.06	1.00
7652.343750	-3.06	-29.05	1.00
7655.273438	-3.06	-29.03	1.00
7658.203125	-3.05	-29.01	1.00
7661.132813	-3.05	-28.99	1.00
7664.062500	-3.05	-28.98	1.00
7666.992188	-3.04	-28.96	1.00
7669.921875	-3.04	-28.94	1.00
7672.851563	-3.03	-28.93	1.00
7675.781250	-3.03	-28.91	1.00
7678.710938	-3.03	-28.90	1.00
7681.640625	-3.02	-28.88	1.00
7684.570313	-3.02	-28.87	1.00
7687.500000	-3.01	-28.85	1.00
7690.429688	-3.01	-28.84	1.00
7693.359375	-3.00	-28.82	1.00
7696.289063	-3.00	-28.81	1.00
7699.218750	-2.99	-28.80	1.00
7702.148438	-2.99	-28.78	1.00
7705.078125	-2.98	-28.77	1.00
7708.007813	-2.98	-28.75	1.00
7710.937500	-2.97	-28.74	1.00
7713.867188	-2.97	-28.72	1.00
7716.796875	-2.96	-28.71	1.00
7719.726563	-2.95	-28.70	1.00
7722.656250	-2.95	-28.68	1.00
7725.585938	-2.94	-28.67	1.00
7728.515625	-2.93	-28.66	1.00
7731.445313	-2.93	-28.64	1.00
7734.375000	-2.92	-28.63	1.00
7737.304688	-2.91	-28.62	1.00
7740.234375	-2.91	-28.61	1.00
7743.164063	-2.90	-28.60	1.00
7746.093750	-2.89	-28.60	1.00
7749.023438	-2.88	-28.59	1.00
7751.953125	-2.87	-28.58	1.00
7754.882813	-2.87	-28.58	1.00
7757.812500	-2.86	-28.58	1.00
7760.742188	-2.85	-28.58	1.00
7763.671875	-2.84	-28.58	1.00
7766.601563	-2.83	-28.58	1.00
7769.531250	-2.83	-28.58	1.00
7772.460938	-2.82	-28.58	1.00
7775.390625	-2.81	-28.59	1.00
7778.320313	-2.80	-28.59	1.00
7781.250000	-2.79	-28.60	1.00
7784.179688	-2.78	-28.61	1.00
7787.109375	-2.77	-28.61	1.00
7790.039063	-2.77	-28.62	1.00
7792.968750	-2.76	-28.63	1.00
7795.898438	-2.75	-28.64	1.00
7798.828125	-2.74	-28.65	1.00
7801.757813	-2.73	-28.66	1.00
7804.687500	-2.72	-28.67	1.00
7807.617188	-2.71	-28.69	1.00
7810.546875	-2.70	-28.70	1.00
7813.476563	-2.69	-28.72	1.00
7816.406250	-2.68	-28.73	1.00
7819.335938	-2.67	-28.75	1.00
7822.265625	-2.66	-28.77	1.00
7825.195313	-2.65	-28.80	1.00
7828.125000	-2.64	-28.82	1.00
7831.054688	-2.63	-28.85	1.00
7833.984375	-2.63	-28.88	1.00
7836.914063	-2.62	-28.91	1.00
7839.843750	-2.61	-28.94	1.00
7842.773438	-2.60	-28.98	1.00
7845.703125	-2.59	-29.02	1.00
7848.632813	-2.58	-29.06	1.00
7851.562500	-2.58	-29.10	1.00
7854.492188	-2.57	-29.13	1.00
7857.421875	-2.56	-29.17	1.00
7860.351563	-2.56	-29.21	1.00
7863.281250	-2.55	-29.24	1.00
7866.210938	-2.54	-29.28	1.00
7869.140625	-2.54	-29.31	1.00
7872.070313	-2.53	-29.34	1.00
7875.000000	-2.52	-29.37	1.00
7877.929688	-2.52	-29.40	1.00
7880.859375	-2.51	-29.43	1.00
7883.789063	-2.51	-29.46	1.00
7886.718750	-2.50	-29.49	1.00
7889.648438	-2.49	-29.52	1.00
7892.578125	-2.49	-29.55	1.00
7895.507813	-2.48	-29.57	1.00
7898.437500	-2.47	-29.60	1.00
7901.367188	-2.46	-29.63	1.00
7904.296875	-2.46	-29.66	1.00
7907.226563	-2.45	-29.70	1.00
7910.156250	-2.44	-29.73	1.00
7913.085938	-2.43	-29.76	1.00
7916.015625	-2.43	-29.79	1.00
7918.945313	-2.42	-29.83	1.00
7921.875000	-2.41	-29.86	1.00
7924.804688	-2.41	-29.90	1.00
7927.734375	-2.40	-29.93	1.00
7930.664063	-2.39	-29.97	1.00
7933.593750	-2.38	-30.00	1.00
7936.523438	-2.38	-30.04	1.00
7939.453125	-2.37	-30.07	1.00
7942.382813	-2.36	-30.11	1.00
7945.312500	-2.35	-30.14	1.00
7948.242188	-2.35	-30.18	1.00
7951.171875	-2.34	-30.21	1.00
7954.101563	-2.33	-30.25	1.00
7957.031250	-2.32	-30.29	1.00
7959.960938	-2.32	-30.32	1.00
7962.890625	-2.31	-30.36	1.00
7965.820313	-2.30	-30.40	1.00
7968.750000	-2.29	-30.44	1.00
7971.679688	-2.29	-30.48	1.00
7974.609375	-2.28	-30.52	1.00
7977.539063	-2.27	-30.56	1.00
7980.468750	-2.26	-30.60	1.00
7983.398438	-2.26	-30.64	1.00
7986.328125	-2.25	-30.68	1.00
7989.257813	-2.24	-30.73	1.00
7992.187500	-2.23	-30.77	1.00
7995.117188	-2.22	-30.82	1.00
7998.046875	-2.22	-30.86	1.00
8000.976563	-2.21	-30.91	0.99
8003.906250	-2.20	-30.96	1.00
8006.835938	-2.19	-31.01	1.00
8009.765625	-2.19	-31.06	1.00
8012.695313	-2.18	-31.11	1.00
8015.625000	-2.17	-31.17	1.00
8018.554688	-2.17	-31.22	0.99
8021.484375	-2.16	-31.27	1.00
8024.414063	-2.15	-31.33	1.00
8027.343750	-2.15	-31.38	1.00
8030.273438	-2.14	-31.44	1.00
8033.203125	-2.13	-31.50	1.00
8036.132813	-2.13	-31.55	1.00
8039.062500	-2.12	-31.61	1.00
8041.992188	-2.11	-31.67	1.00
8044.921875	-2.11	-31.73	1.00
8047.851563	-2.10	-31.79	1.00
8050.781250	-2.10	-31.85	1.00
8053.710938	-2.09	-31.91	1.00
8056.640625	-2.09	-31.97	1.00
8059.570313	-2.08	-32.03	1.00
8062.500000	-2.08	-32.09	1.00
8065.429688	-2.07	-32.15	1.00
8068.359375	-2.07	-32.20	1.00
8071.289063	-2.06	-32.26	1.00
8074.218750	-2.06	-32.32	1.00
8077.148438	-2.05	-32.37	1.00
8080.078125	-2.05	-32.43	1.00
8083.007813	-2.04	-32.48	1.00
8085.937500	-2.04	-32.54	1.00
8088.867188	-2.04	-32.59	1.00
8091.796875	-2.03	-32.65	1.00
8094.726563	-2.03	-32.70	1.00
8097.656250	-2.02	-32.76	1.00
8100.585938	-2.02	-32.82	1.00
8103.515625	-2.01	-32.87	1.00
8106.445313	-2.01	-32.93	1.00
8109.375000	-2.00	-32.99	1.00
8112.304688	-2.00	-33.05	1.00
8115.234375	-1.99	-33.11	1.00
8118.164063	-1.99	-33.18	1.00
8121.093750	-1.98	-33.24	1.00
8124.023438	-1.98	-33.30	1.00
8126.953125	-1.98	-33.37	1.00
8129.882813	-1.97	-33.43	1.00
8132.812500	-1.97	-33.49	1.00
8135.742188	-1.96	-33.56	1.00
8138.671875	-1.96	-33.63	1.00
8141.601563	-1.95	-33.69	1.00
8144.531250	-1.95	-33.76	1.00
8147.460938	-1.95	-33.83	1.00
8150.390625	-1.94	-33.90	1.00
8153.320313	-1.94	-33.97	1.00
8156.250000	-1.94	-34.04	1.00
8159.179688	-1.93	-34.11	1.00
8162.109375	-1.93	-34.18	1.00
8165.039063	-1.93	-34.25	1.00
8167.968750	-1.93	-34.33	1.00
8170.898438	-1.92	-34.40	1.00
8173.828125	-1.92	-34.47	1.00
8176.757813	-1.92	-34.54	1.00
8179.687500	-1.92	-34.62	0.99
8182.617188	-1.91	-34.69	1.00
8185.546875	-1.91	-34.77	1.00
8188.476563	-1.91	-34.84	1.00
8191.406250	-1.91	-34.91	1.00
8194.335938	-1.91	-34.99	1.00
8197.265625	-1.91	-35.07	1.00
8200.195313	-1.91	-35.14	1.00
8203.125000	-1.91	-35.22	1.00
8206.054688	-1.91	-35.29	1.00
8208.984375	-1.91	-35.37	1.00
8211.914063	-1.91	-35.45	1.00
8214.843750	-1.91	-35.52	1.00
8217.773438	-1.91	-35.60	1.00
8220.703125	-1.91	-35.67	1.00
8223.632813	-1.91	-35.74	1.00
8226.562500	-1.91	-35.81	1.00
8229.492188	-1.91	-35.88	1.00
8232.421875	-1.91	-35.95	1.00
8235.351563	-1.92	-36.01	1.00
8238.281250	-1.92	-36.07	1.00
8241.210938	-1.92	-36.13	1.00
8244.140625	-1.92	-36.19	1.00
8247.070313	-1.92	-36.25	1.00
8250.000000	-1.93	-36.30	1.00
8252.929688	-1.93	-36.35	1.00
8255.859375	-1.93	-36.41	1.00
8258.789063	-1.93	-36.46	1.00
8261.718750	-1.93	-36.52	1.00
8264.648438	-1.93	-36.57	0.99
8267.578125	-1.93	-36.63	1.00
8270.507813	-1.93	-36.69	1.00
8273.437500	-1.93	-36.74	1.00
8276.367188	-1.93	-36.81	1.00
8279.296875	-1.93	-36.87	1.00
8282.226563	-1.93	-36.93	1.00
8285.156250	-1.93	-37.00	1.00
8288.085938	-1.93	-37.06	1.00
8291.015625	-1.93	-37.13	1.00
8293.945313	-1.93	-37.19	1.00
8296.875000	-1.93	-37.26	1.00
8299.804688	-1.93	-37.33	1.00
8302.734375	-1.93	-37.39	1.00
8305.664063	-1.93	-37.46	1.00
8308.593750	-1.93	-37.53	1.00
8311.523438	-1.93	-37.59	1.00
8314.453125	-1.93	-37.66	1.00
8317.382813	-1.94	-37.72	1.00
8320.312500	-1.94	-37.79	1.00
8323.242188	-1.94	-37.85	1.00
8326.171875	-1.94	-37.91	1.00
8329.101563	-1.95	-37.97	1.00
8332.031250	-1.95	-38.03	1.00
8334.960938	-1.95	-38.09	1.00
8337.890625	-1.95	-38.15	1.00
8340.820313	-1.96	-38.21	1.00
8343.750000	-1.96	-38.27	1.00
8346.679688	-1.96	-38.32	1.00
8349.609375	-1.96	-38.38	1.00
8352.539063	-1.97	-38.43	1.00
8355.468750	-1.97	-38.48	1.00
8358.398438	-1.97	-38.54	1.00
8361.328125	-1.97	-38.59	1.00
8364.257813	-1.98	-38.64	1.00
8367.187500	-1.98	-38.69	1.00
8370.117188	-1.98	-38.74	1.00
8373.046875	-1.98	-38.80	1.00
8375.976563	-1.98	-38.85	1.00
8378.906250	-1.99	-38.90	1.00
8381.835938	-1.99	-38.96	1.00
8384.765625	-1.99	-39.01	1.00
8387.695313	-1.99	-39.06	1.00
8390.625000	-1.99	-39.12	1.00
8393.554688	-2.00	-39.17	1.00
8396.484375	-2.00	-39.23	1.00
8399.414063	-2.00	-39.29	1.00
8402.343750	-2.00	-39.34	1.00
8405.273438	-2.01	-39.40	1.00
8408.203125	-2.01	-39.46	1.00
8411.132813	-2.01	-39.51	1.00
8414.062500	-2.01	-39.57	1.00
8416.992188	-2.02	-39.63	1.00
8419.921875	-2.02	-39.68	1.00
8422.851563	-2.02	-39.74	1.00
8425.781250	-2.03	-39.80	1.00
8428.710938	-2.03	-39.85	1.00
8431.640625	-2.04	-39.91	1.00
8434.570313	-2.04	-39.96	1.00
8437.500000	-2.04	-40.01	1.00
8440.429688	-2.05	-40.06	1.00
8443.359375	-2.05	-40.12	1.00
8446.289063	-2.06	-40.17	1.00
8449.218750	-2.06	-40.22	1.00
8452.148438	-2.06	-40.27	1.00
8455.078125	-2.07	-40.32	1.00
8458.007813	-2.07	-40.36	1.00
8460.937500	-2.08	-40.41	1.00
8463.867188	-2.08	-40.46	1.00
8466.796875	-2.09	-40.51	1.00
8469.726563	-2.09	-40.56	1.00
8472.656250	-2.10	-40.60	1.00
8475.585938	-2.10	-40.65	1.00
8478.515625	-2.11	-40.70	1.00
8481.445313	-2.11	-40.74	1.00
8484.375000	-2.12	-40.78	1.00
8487.304688	-2.12	-40.83	1.00
8490.234375	-2.13	-40.87	1.00
8493.164063	-2.14	-40.91	1.00
8496.093750	-2.14	-40.95	1.00
8499.023438	-2.15	-40.99	1.00
8501.953125	-2.15	-41.03	1.00
8504.882813	-2.16	-41.06	1.00
8507.812500	-2.16	-41.10	1.00
8510.742188	-2.17	-41.13	1.00
8513.671875	-2.18	-41.17	1.00
8516.601563	-2.18	-41.20	1.00
8519.531250	-2.19	-41.23	1.00
8522.460938	-2.19	-41.26	1.00
8525.390625	-2.20	-41.29	1.00
8528.320313	-2.20	-41.32	1.00
8531.250000	-2.21	-41.35	1.00
8534.179688	-2.22	-41.37	1.00
8537.109375	-2.22	-41.40	1.00
8540.039063	-2.23	-41.42	1.00
8542.968750	-2.23	-41.44	1.00
8545.898438	-2.24	-41.46	1.00
8548.828125	-2.24	-41.48	1.00
8551.757813	-2.25	-41.50	1.00
8554.687500	-2.25	-41.52	1.00
8557.617188	-2.26	-41.54	1.00
8560.546875	-2.26	-41.56	1.00
8563.476563	-2.27	-41.58	1.00
8566.406250	-2.27	-41.60	1.00
8569.335938	-2.27	-41.61	1.00
8572.265625	-2.28	-41.63	1.00
8575.195313	-2.28	-41.65	1.00
8578.125000	-2.29	-41.67	1.00
8581.054688	-2.29	-41.69	1.00
8583.984375	-2.29	-41.71	1.00
8586.914063	-2.30	-41.73	1.00
8589.843750	-2.30	-41.75	1.00
8592.773438	-2.30	-41.77	1.00
8595.703125	-2.31	-41.79	1.00
8598.632813	-2.31	-41.81	1.00
8601.562500	-2.32	-41.83	1.00
8604.492188	-2.32	-41.84	1.00
8607.421875	-2.32	-41.86	1.00
8610.351563	-2.33	-41.87	1.00
8613.281250	-2.33	-41.89	1.00
8616.210938	-2.34	-41.90	1.00
8619.140625	-2.34	-41.92	1.00
8622.070313	-2.34	-41.93	1.00
8625.000000	-2.35	-41.94	1.00
8627.929688	-2.35	-41.95	1.00
8630.859375	-2.35	-41.97	1.00
8633.789063	-2.36	-41.98	1.00
8636.718750	-2.36	-41.99	1.00
8639.648438	-2.36	-42.00	1.00
8642.578125	-2.37	-42.02	1.00
8645.507813	-2.37	-42.03	1.00
8648.437500	-2.37	-42.05	1.00
8651.367188	-2.37	-42.06	1.00
8654.296875	-2.38	-42.08	1.00
8657.226563	-2.38	-42.10	1.00
8660.156250	-2.38	-42.12	1.00
8663.085938	-2.38	-42.13	1.00
8666.015625	-2.39	-42.15	1.00
8668.945313	-2.39	-42.17	1.00
8671.875000	-2.39	-42.19	1.00
